site,scenario,level,seed,policy,horizon_s,eligible_tasks,completed,overdue_en_route,overdue_assigned,run,registry_sha256
A,E3_L1_F5_C2,L1,20240604,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240604/B1,fa1fbfaa99732c2e828840850ae54985e808d11b462c008b3c97977e80890434
A,E3_L1_F5_C2,L1,20240604,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240604/B2,fa1fbfaa99732c2e828840850ae54985e808d11b462c008b3c97977e80890434
A,E3_L1_F5_C2,L1,20240604,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240604/B4b,fa1fbfaa99732c2e828840850ae54985e808d11b462c008b3c97977e80890434
A,E3_L1_F5_C2,L1,20240605,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240605/B0,ed15a4dde3a26096ed11c5f8c857a381893a672d540c7f4af11a045d40e2101e
A,E3_L1_F5_C2,L1,20240605,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240605/B1,708340137de35128acc3f588f54cdc181516a439c42ab9ebaa64301557142e5d
A,E3_L1_F5_C2,L1,20240605,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240605/B2,708340137de35128acc3f588f54cdc181516a439c42ab9ebaa64301557142e5d
A,E3_L1_F5_C2,L1,20240605,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240605/B4b,708340137de35128acc3f588f54cdc181516a439c42ab9ebaa64301557142e5d
A,E3_L1_F5_C2,L1,20240606,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240606/B0,1a14e4527da28335142bc8e735a8213ad11b7787db1a21b49d8d845921831106
A,E3_L1_F5_C2,L1,20240606,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240606/B1,ff968c985626787f7cca7b805722b795de6aebdcf67f378c16c2db6b3712a76b
A,E3_L1_F5_C2,L1,20240606,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240606/B2,ff968c985626787f7cca7b805722b795de6aebdcf67f378c16c2db6b3712a76b
A,E3_L1_F5_C2,L1,20240606,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240606/B4b,ff968c985626787f7cca7b805722b795de6aebdcf67f378c16c2db6b3712a76b
A,E3_L1_F5_C2,L1,20240607,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240607/B0,012343580102550e30b393ce265cc2e02a9ab923b5e62f89993747fe102195f0
A,E3_L1_F5_C2,L1,20240607,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240607/B1,c7869ecd98496c9e6510a17926f335331b7eceed5b30204a47f3b33519714c8d
A,E3_L1_F5_C2,L1,20240607,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240607/B2,c7869ecd98496c9e6510a17926f335331b7eceed5b30204a47f3b33519714c8d
A,E3_L1_F5_C2,L1,20240607,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240607/B4b,c7869ecd98496c9e6510a17926f335331b7eceed5b30204a47f3b33519714c8d
A,E3_L1_F5_C2,L1,20240608,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240608/B0,5bdcf9c440c926fdcd27cc3f9bcc304bb4a569de5107bc83ee1f1125db6d36c4
A,E3_L1_F5_C2,L1,20240608,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240608/B1,40514d4f35bc6e3626254648b5dc683aef66b1d894569cd80f23602da203851e
A,E3_L1_F5_C2,L1,20240608,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240608/B2,40514d4f35bc6e3626254648b5dc683aef66b1d894569cd80f23602da203851e
A,E3_L1_F5_C2,L1,20240608,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240608/B4b,40514d4f35bc6e3626254648b5dc683aef66b1d894569cd80f23602da203851e
A,E3_L1_F5_C2,L1,20240609,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240609/B0,bed26fe235627bf59f84d2c6b6dfd62fb8328b0ccdc599fa15d078d30bd90e97
A,E3_L1_F5_C2,L1,20240609,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240609/B1,36f975ddaa398ef545921b683fb335299ccba900368d056d0f0d065e4193f35f
A,E3_L1_F5_C2,L1,20240609,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240609/B2,36f975ddaa398ef545921b683fb335299ccba900368d056d0f0d065e4193f35f
A,E3_L1_F5_C2,L1,20240609,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240609/B4b,36f975ddaa398ef545921b683fb335299ccba900368d056d0f0d065e4193f35f
A,E3_L1_F5_C2,L1,20240610,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240610/B0,76ebf382c057346b7d57711b8261a5c722804ae76f6f3ea5b35c76a216dd97c5
A,E3_L1_F5_C2,L1,20240610,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240610/B1,14709d3033b5d4671f1eb4e44af90549dd49347b55d6adf636cef1325f881c7a
A,E3_L1_F5_C2,L1,20240610,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240610/B2,14709d3033b5d4671f1eb4e44af90549dd49347b55d6adf636cef1325f881c7a
A,E3_L1_F5_C2,L1,20240610,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240610/B4b,14709d3033b5d4671f1eb4e44af90549dd49347b55d6adf636cef1325f881c7a
A,E3_L1_F5_C2,L1,20240611,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240611/B0,b86114673675ebd776a870f4f707e782d651a94e05841e536705a33b2b344e3e
A,E3_L1_F5_C2,L1,20240611,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240611/B1,0a6d34f10d21f52cc2b86a785ed47423a105a2acd3e39a70465b7cb3b6c72631
A,E3_L1_F5_C2,L1,20240611,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240611/B2,0a6d34f10d21f52cc2b86a785ed47423a105a2acd3e39a70465b7cb3b6c72631
A,E3_L1_F5_C2,L1,20240611,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240611/B4b,0a6d34f10d21f52cc2b86a785ed47423a105a2acd3e39a70465b7cb3b6c72631
A,E3_L1_F5_C2,L1,20240612,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240612/B0,19fa096d4ed78183152cb2083d928236a8e4f4205d1bccb4a417ee5f7242470a
A,E3_L1_F5_C2,L1,20240612,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240612/B1,f9f3a77ee1a4469691322480481bed9d4432412e9428b339417a5fb07a099a2d
A,E3_L1_F5_C2,L1,20240612,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240612/B2,f9f3a77ee1a4469691322480481bed9d4432412e9428b339417a5fb07a099a2d
A,E3_L1_F5_C2,L1,20240612,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240612/B4b,f9f3a77ee1a4469691322480481bed9d4432412e9428b339417a5fb07a099a2d
A,E3_L1_F5_C2,L1,20240613,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240613/B0,c2d701a27d998c90d2cc4c000d2fe0bf7a33fb0da0c6a718bb0396c94e7c1cfc
A,E3_L1_F5_C2,L1,20240613,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240613/B1,52e1c7bac0c74ee085cf55697399bb0c11e91a5b6c34ab4f0b89bb90dfe76aa6
