t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
36,36,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
36,36,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
37,37,EVTOL-01,EC35,31.3113978,120.6039823,199.9,BUSY,M-P-001,V2
37,37,L-UAV-01,AMZN,31.3033882,120.6003522,100.0,BUSY,M-L-001,V3
37,37,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
37,37,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
38,38,EVTOL-01,EC35,31.3117609,120.6039939,199.9,BUSY,M-P-001,V2
38,38,L-UAV-01,AMZN,31.3035021,120.6004386,100.0,BUSY,M-L-001,V3
38,38,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
38,38,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
39,39,EVTOL-01,EC35,31.3121228,120.6039574,199.9,BUSY,M-P-001,V2
39,39,L-UAV-01,AMZN,31.3036160,120.6005251,100.0,BUSY,M-L-001,V3
39,39,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
39,39,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
40,40,EVTOL-01,EC35,31.3124788,120.6038733,199.9,BUSY,M-P-001,V2
40,40,L-UAV-01,AMZN,31.3037299,120.6006115,100.0,BUSY,M-L-001,V3
40,40,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
40,40,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
41,41,EVTOL-01,EC35,31.3128244,120.6037426,199.9,BUSY,M-P-001,V2
41,41,L-UAV-01,AMZN,31.3038437,120.6006980,100.0,BUSY,M-L-001,V3
41,41,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
41,41,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
42,42,EVTOL-01,EC35,31.3131551,120.6035671,199.9,BUSY,M-P-001,V2
42,42,L-UAV-01,AMZN,31.3039576,120.6007845,100.0,BUSY,M-L-001,V3
42,42,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
42,42,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
43,43,EVTOL-01,EC35,31.3134669,120.6033489,199.9,BUSY,M-P-001,V2
43,43,L-UAV-01,AMZN,31.3040715,120.6008709,100.0,BUSY,M-L-001,V3
43,43,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
43,43,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
44,44,EVTOL-01,EC35,31.3137555,120.6030909,199.9,BUSY,M-P-001,V2
44,44,L-UAV-01,AMZN,31.3041854,120.6009574,100.0,BUSY,M-L-001,V3
44,44,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
44,44,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
45,45,EVTOL-01,EC35,31.3140174,120.6027963,199.9,BUSY,M-P-001,V2
45,45,L-UAV-01,AMZN,31.3042993,120.6010439,100.0,BUSY,M-L-001,V3
45,45,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
45,45,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
46,46,EVTOL-01,EC35,31.3142492,120.6024691,199.9,BUSY,M-P-001,V2
46,46,L-UAV-01,AMZN,31.3044131,120.6011303,100.0,BUSY,M-L-001,V3
46,46,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
46,46,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
47,47,EVTOL-01,EC35,31.3144479,120.6021132,199.9,BUSY,M-P-001,V2
47,47,L-UAV-01,AMZN,31.3045270,120.6012168,100.0,BUSY,M-L-001,V3
47,47,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
47,47,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
48,48,EVTOL-01,EC35,31.3146110,120.6017334,199.9,BUSY,M-P-001,V2
48,48,L-UAV-01,AMZN,31.3046409,120.6013033,100.0,BUSY,M-L-001,V3
48,48,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
48,48,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
49,49,EVTOL-01,EC35,31.3147364,120.6013344,199.9,BUSY,M-P-001,V2
49,49,L-UAV-01,AMZN,31.3047548,120.6013897,100.0,BUSY,M-L-001,V3
49,49,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
49,49,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
50,50,EVTOL-01,EC35,31.3148224,120.6009214,199.9,BUSY,M-P-001,V2
50,50,L-UAV-01,AMZN,31.3048686,120.6014762,100.0,BUSY,M-L-001,V3
50,50,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
50,50,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
51,51,EVTOL-01,EC35,31.3148681,120.6004996,199.9,BUSY,M-P-001,V2
51,51,L-UAV-01,AMZN,31.3049825,120.6015627,100.0,BUSY,M-L-001,V3
51,51,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
51,51,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
52,52,EVTOL-01,EC35,31.3148727,120.6000745,199.9,BUSY,M-P-001,V2
52,52,L-UAV-01,AMZN,31.3050964,120.6016491,100.0,BUSY,M-L-001,V3
52,52,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
52,52,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
53,53,EVTOL-01,EC35,31.3148363,120.5996516,199.9,BUSY,M-P-001,V2
53,53,L-UAV-01,AMZN,31.3052103,120.6017356,100.0,BUSY,M-L-001,V3
53,53,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
53,53,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
54,54,EVTOL-01,EC35,31.3147593,120.5992361,199.9,BUSY,M-P-001,V2
54,54,L-UAV-01,AMZN,31.3053242,120.6018221,100.0,BUSY,M-L-001,V3
54,54,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
54,54,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
55,55,EVTOL-01,EC35,31.3146426,120.5988335,199.9,BUSY,M-P-001,V2
55,55,L-UAV-01,AMZN,31.3054380,120.6019085,100.0,BUSY,M-L-001,V3
