t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
36,36,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
36,36,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
37,37,EVTOL-01,EC35,31.3119618,120.6038593,199.9,BUSY,M-P-001,V2
37,37,L-UAV-01,AMZN,31.3037740,120.6006451,100.0,BUSY,M-L-001,V3
37,37,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
37,37,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
38,38,EVTOL-01,EC35,31.3123178,120.6037752,199.9,BUSY,M-P-001,V2
38,38,L-UAV-01,AMZN,31.3038879,120.6007316,100.0,BUSY,M-L-001,V3
38,38,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
38,38,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
39,39,EVTOL-01,EC35,31.3126634,120.6036445,199.9,BUSY,M-P-001,V2
39,39,L-UAV-01,AMZN,31.3040018,120.6008180,100.0,BUSY,M-L-001,V3
39,39,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
39,39,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
40,40,EVTOL-01,EC35,31.3129942,120.6034689,199.9,BUSY,M-P-001,V2
40,40,L-UAV-01,AMZN,31.3041157,120.6009045,100.0,BUSY,M-L-001,V3
40,40,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
40,40,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
41,41,EVTOL-01,EC35,31.3133059,120.6032508,199.9,BUSY,M-P-001,V2
41,41,L-UAV-01,AMZN,31.3042296,120.6009910,100.0,BUSY,M-L-001,V3
41,41,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
41,41,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
42,42,EVTOL-01,EC35,31.3135946,120.6029928,199.9,BUSY,M-P-001,V2
42,42,L-UAV-01,AMZN,31.3043434,120.6010774,100.0,BUSY,M-L-001,V3
42,42,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
42,42,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
43,43,EVTOL-01,EC35,31.3138565,120.6026982,199.9,BUSY,M-P-001,V2
43,43,L-UAV-01,AMZN,31.3044573,120.6011639,100.0,BUSY,M-L-001,V3
43,43,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
43,43,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
44,44,EVTOL-01,EC35,31.3140883,120.6023710,199.9,BUSY,M-P-001,V2
44,44,L-UAV-01,AMZN,31.3045712,120.6012504,100.0,BUSY,M-L-001,V3
44,44,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
44,44,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
45,45,EVTOL-01,EC35,31.3142870,120.6020151,199.9,BUSY,M-P-001,V2
45,45,L-UAV-01,AMZN,31.3046851,120.6013368,100.0,BUSY,M-L-001,V3
45,45,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
45,45,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
46,46,EVTOL-01,EC35,31.3144501,120.6016353,199.9,BUSY,M-P-001,V2
46,46,L-UAV-01,AMZN,31.3047990,120.6014233,100.0,BUSY,M-L-001,V3
46,46,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
46,46,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
47,47,EVTOL-01,EC35,31.3145755,120.6012363,199.9,BUSY,M-P-001,V2
47,47,L-UAV-01,AMZN,31.3049128,120.6015098,100.0,BUSY,M-L-001,V3
47,47,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
47,47,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
48,48,EVTOL-01,EC35,31.3146615,120.6008233,199.9,BUSY,M-P-001,V2
48,48,L-UAV-01,AMZN,31.3050267,120.6015962,100.0,BUSY,M-L-001,V3
48,48,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
48,48,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
49,49,EVTOL-01,EC35,31.3147072,120.6004015,199.9,BUSY,M-P-001,V2
49,49,L-UAV-01,AMZN,31.3051406,120.6016827,100.0,BUSY,M-L-001,V3
49,49,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
49,49,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
50,50,EVTOL-01,EC35,31.3147118,120.5999764,199.9,BUSY,M-P-001,V2
50,50,L-UAV-01,AMZN,31.3052545,120.6017692,100.0,BUSY,M-L-001,V3
50,50,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
50,50,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
51,51,EVTOL-01,EC35,31.3146754,120.5995535,199.9,BUSY,M-P-001,V2
51,51,L-UAV-01,AMZN,31.3053684,120.6018556,100.0,BUSY,M-L-001,V3
51,51,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
51,51,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
52,52,EVTOL-01,EC35,31.3145983,120.5991380,199.9,BUSY,M-P-001,V2
52,52,L-UAV-01,AMZN,31.3054822,120.6019421,100.0,BUSY,M-L-001,V3
52,52,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
52,52,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
53,53,EVTOL-01,EC35,31.3144817,120.5987354,199.9,BUSY,M-P-001,V2
53,53,L-UAV-01,AMZN,31.3055961,120.6020286,100.0,BUSY,M-L-001,V3
53,53,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
53,53,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
54,54,EVTOL-01,EC35,31.3143270,120.5983508,199.9,BUSY,M-P-001,V2
54,54,L-UAV-01,AMZN,31.3057100,120.6021150,100.0,BUSY,M-L-001,V3
54,54,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
54,54,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
55,55,EVTOL-01,EC35,31.3141361,120.5979891,199.9,BUSY,M-P-001,V2
55,55,L-UAV-01,AMZN,31.3058239,120.6022015,100.0,BUSY,M-L-001,V2
