t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
35,35,L-UAV-01,AMZN,31.3022663,120.5995003,100.0,BUSY,M-L-001,V3
35,35,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
35,35,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
36,36,EVTOL-01,EC35,31.3126178,120.6036167,199.9,BUSY,M-P-001,V2
36,36,L-UAV-01,AMZN,31.3023802,120.5995868,100.0,BUSY,M-L-001,V3
36,36,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
36,36,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
37,37,EVTOL-01,EC35,31.3129486,120.6034411,199.9,BUSY,M-P-001,V2
37,37,L-UAV-01,AMZN,31.3024941,120.5996733,100.0,BUSY,M-L-001,V3
37,37,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
37,37,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
38,38,EVTOL-01,EC35,31.3132603,120.6032229,199.9,BUSY,M-P-001,V2
38,38,L-UAV-01,AMZN,31.3026080,120.5997597,100.0,BUSY,M-L-001,V3
38,38,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
38,38,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
39,39,EVTOL-01,EC35,31.3135489,120.6029649,199.9,BUSY,M-P-001,V2
39,39,L-UAV-01,AMZN,31.3027218,120.5998462,100.0,BUSY,M-L-001,V3
39,39,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
39,39,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
40,40,EVTOL-01,EC35,31.3138108,120.6026704,199.9,BUSY,M-P-001,V2
40,40,L-UAV-01,AMZN,31.3028357,120.5999326,100.0,BUSY,M-L-001,V3
40,40,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
40,40,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
41,41,EVTOL-01,EC35,31.3140426,120.6023431,199.9,BUSY,M-P-001,V2
41,41,L-UAV-01,AMZN,31.3029496,120.6000191,100.0,BUSY,M-L-001,V3
41,41,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
41,41,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
42,42,EVTOL-01,EC35,31.3142413,120.6019873,199.9,BUSY,M-P-001,V2
42,42,L-UAV-01,AMZN,31.3030635,120.6001056,100.0,BUSY,M-L-001,V3
42,42,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
42,42,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
43,43,EVTOL-01,EC35,31.3144044,120.6016074,199.9,BUSY,M-P-001,V2
43,43,L-UAV-01,AMZN,31.3031774,120.6001920,100.0,BUSY,M-L-001,V3
43,43,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
43,43,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
44,44,EVTOL-01,EC35,31.3145298,120.6012084,199.9,BUSY,M-P-001,V2
44,44,L-UAV-01,AMZN,31.3032912,120.6002785,100.0,BUSY,M-L-001,V3
44,44,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
44,44,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
45,45,EVTOL-01,EC35,31.3146159,120.6007954,199.9,BUSY,M-P-001,V2
45,45,L-UAV-01,AMZN,31.3034051,120.6003650,100.0,BUSY,M-L-001,V3
45,45,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
45,45,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
46,46,EVTOL-01,EC35,31.3146615,120.6003737,199.9,BUSY,M-P-001,V2
46,46,L-UAV-01,AMZN,31.3035190,120.6004514,100.0,BUSY,M-L-001,V3
46,46,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
46,46,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
47,47,EVTOL-01,EC35,31.3146661,120.5999486,199.9,BUSY,M-P-001,V2
47,47,L-UAV-01,AMZN,31.3036329,120.6005379,100.0,BUSY,M-L-001,V3
47,47,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
47,47,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
48,48,EVTOL-01,EC35,31.3146297,120.5995256,199.9,BUSY,M-P-001,V2
48,48,L-UAV-01,AMZN,31.3037468,120.6006244,100.0,BUSY,M-L-001,V3
48,48,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
48,48,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
49,49,EVTOL-01,EC35,31.3145527,120.5991102,199.9,BUSY,M-P-001,V2
49,49,L-UAV-01,AMZN,31.3038606,120.6007108,100.0,BUSY,M-L-001,V3
49,49,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
49,49,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
50,50,EVTOL-01,EC35,31.3144361,120.5987076,199.9,BUSY,M-P-001,V2
50,50,L-UAV-01,AMZN,31.3039745,120.6007973,100.0,BUSY,M-L-001,V3
50,50,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
50,50,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
51,51,EVTOL-01,EC35,31.3142813,120.5983230,199.9,BUSY,M-P-001,V2
51,51,L-UAV-01,AMZN,31.3040884,120.6008838,100.0,BUSY,M-L-001,V3
51,51,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
51,51,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
52,52,EVTOL-01,EC35,31.3140904,120.5979613,199.9,BUSY,M-P-001,V2
52,52,L-UAV-01,AMZN,31.3042023,120.6009702,100.0,BUSY,M-L-001,V3
52,52,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
52,52,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
53,53,EVTOL-01,EC35,31.3138658,120.5976272,199.9,BUSY,M-P-001,V2
53,53,L-UAV-01,AMZN,31.3043162,120.6010567,100.0,BUSY,M-L-001,V3
53,53,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
53,53,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
54,54,EVTOL-01,EC35,31.3136104,120.5973250,199.9,BUSY,M-P-001,V2
54,54,L-UAV-01,AMZN,31.3044300,120.6011432,100.0,BUSY,M-L-001,V3
54,54,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
54,54,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
55,55,EVTOL-01,EC35,31.3133275,120.5970584,199.9,BUSY,M-P-001,V2
55,55,L-UAV-01,AMZN,31.3045439,120.6012296,100.0,BUSY,M-L-001,V3
55,55,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
55,55,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
56,56,EVTOL-01,EC35,31.3130207,120.5968310,199.9,BUSY,M-P-001,V2
56,56,L-UAV-01,AMZN,31.3046578,120.6013161,100.0,BUSY,M-L-001,V3
56,56,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
56,56,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
57,57,EVTOL-01,EC35,31.3126938,120.5966456,199.9,BUSY,M-P-001,V2
57,57,L-UAV-01,AMZN,31.3047717,120.6014026,100.0,BUSY,M-L-001,V3
57,57,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
57,57,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
58,58,EVTOL-01,EC35,31.3123512,120.5965046,199.9,BUSY,M-P-001,V2
58,58,L-UAV-01,AMZN,31.3048856,120.6014890,100.0,BUSY,M-L-001,V3
58,58,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
58,58,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
59,59,EVTOL-01,EC35,31.3119971,120.5964099,199.9,BUSY,M-P-001,V2
59,59,L-UAV-01,AMZN,31.3049994,120.6015755,100.0,BUSY,M-L-001,V3
59,59,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
59,59,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
60,60,EVTOL-01,EC35,31.3116362,120.5963626,199.9,BUSY,M-P-001,V2
60,60,L-UAV-01,AMZN,31.3051133,120.6016620,100.0,BUSY,M-L-001,V3
60,60,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
60,60,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
61,61,EVTOL-01,EC35,31.3112733,120.5963443,199.9,BUSY,M-P-001,V2
61,61,L-UAV-01,AMZN,31.3052272,120.6017484,100.0,BUSY,M-L-001,V3
61,61,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
61,61,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
62,62,EVTOL-01,EC35,31.3109105,120.5963259,199.9,BUSY,M-P-001,V2
62,62,L-UAV-01,AMZN,31.3053411,120.6018349,100.0,BUSY,M-L-001,V3
62,62,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
62,62,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
63,63,EVTOL-01,EC35,31.3105476,120.5963076,199.9,BUSY,M-P-001,V2
63,63,L-UAV-01,AMZN,31.3054550,120.6019214,100.0,BUSY,M-L-001,V3
63,63,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
